image_lien,species,score_positive,score_negative,score_final,is_mushroom
120020.jpg,Agaricus bisporus,0.2820838391780853,0.20738118886947632,0.07470265030860901,True
120021.jpg,Agaricus bisporus,0.2777068614959717,0.20868664979934692,0.06902021169662476,True
120022.jpg,Agaricus bisporus,0.28306815028190613,0.2022755742073059,0.08079257607460022,True
120023.jpg,Agaricus bisporus,0.20996706187725067,0.21945026516914368,-0.009483203291893005,False
131671.jpg,Agaricus bisporus,0.29056960344314575,0.17969314754009247,0.11087645590305328,True
131672.jpg,Agaricus bisporus,0.29458245635032654,0.20111094415187836,0.09347151219844818,True
131673.jpg,Agaricus bisporus,0.27559614181518555,0.18977925181388855,0.085816890001297,True
131674.jpg,Agaricus bisporus,0.3106241524219513,0.21841363608837128,0.09221051633358002,True
153858.jpg,Agaricus bisporus,0.204598069190979,0.20527559518814087,-0.0006775259971618652,False
153859.jpg,Agaricus bisporus,0.14753413200378418,0.17768126726150513,-0.030147135257720947,False
153860.jpg,Agaricus bisporus,0.30527305603027344,0.2032512128353119,0.10202184319496155,True
153861.jpg,Agaricus bisporus,0.2618267238140106,0.22267401218414307,0.039152711629867554,True
153862.jpg,Agaricus bisporus,0.2303106188774109,0.19477888941764832,0.03553172945976257,True
153863.jpg,Agaricus bisporus,0.2741716504096985,0.19304552674293518,0.0811261236667633,True
153864.jpg,Agaricus bisporus,0.18646307289600372,0.19264842569828033,-0.006185352802276611,False
153865.jpg,Agaricus bisporus,0.2690267264842987,0.23225614428520203,0.03677058219909668,True
153866.jpg,Agaricus bisporus,0.23186898231506348,0.22969426214694977,0.0021747201681137085,False
153867.jpg,Agaricus bisporus,0.29235973954200745,0.2185705602169037,0.07378917932510376,True
153868.jpg,Agaricus bisporus,0.282073438167572,0.23242172598838806,0.04965171217918396,True
153869.jpg,Agaricus bisporus,0.21967363357543945,0.15992558002471924,0.059748053550720215,True
154308.jpg,Agaricus bisporus,0.30259183049201965,0.24422046542167664,0.05837136507034302,True
154320.jpg,Agaricus bisporus,0.2856016457080841,0.23663783073425293,0.04896381497383118,True
16815.jpg,Agaricus bisporus,0.2964343726634979,0.261474609375,0.034959763288497925,True
17592.jpg,Agaricus bisporus,0.2964344024658203,0.2614746391773224,0.034959763288497925,True
177166.jpg,Agaricus bisporus,0.3226339817047119,0.23971757292747498,0.08291640877723694,True
177167.jpg,Agaricus bisporus,0.3202784061431885,0.24021631479263306,0.08006209135055542,True
177168.jpg,Agaricus bisporus,0.33407172560691833,0.2497870922088623,0.08428463339805603,True
201109.jpg,Agaricus bisporus,0.28215348720550537,0.18860408663749695,0.09354940056800842,True
201110.jpg,Agaricus bisporus,0.31352782249450684,0.21453158557415009,0.09899623692035675,True
219513.jpg,Agaricus bisporus,0.290206640958786,0.25227129459381104,0.037935346364974976,True
219514.jpg,Agaricus bisporus,0.2993972897529602,0.24767859280109406,0.05171869695186615,True
219515.jpg,Agaricus bisporus,0.31649917364120483,0.2307276427745819,0.08577153086662292,True
289087.jpg,Agaricus bisporus,0.33162403106689453,0.2161983698606491,0.11542566120624542,True
289088.jpg,Agaricus bisporus,0.3161160349845886,0.21464745700359344,0.10146857798099518,True
289089.jpg,Agaricus bisporus,0.29504215717315674,0.20806339383125305,0.08697876334190369,True
289090.jpg,Agaricus bisporus,0.3297543525695801,0.2246769517660141,0.10507740080356598,True
3323.jpg,Agaricus bisporus,0.3018752336502075,0.23381413519382477,0.06806109845638275,True
3324.jpg,Agaricus bisporus,0.26664072275161743,0.22180920839309692,0.04483151435852051,True
3325.jpg,Agaricus bisporus,0.290453165769577,0.21835902333259583,0.0720941424369812,True
400549.jpg,Agaricus bisporus,0.23059281706809998,0.19151334464550018,0.03907947242259979,True
403677.jpg,Agaricus bisporus,0.295379102230072,0.2291051298379898,0.06627397239208221,True
403678.jpg,Agaricus bisporus,0.2886678874492645,0.23172228038311005,0.05694560706615448,True
403679.jpg,Agaricus bisporus,0.18398244678974152,0.20064178109169006,-0.016659334301948547,False
403910.jpg,Agaricus bisporus,0.29978063702583313,0.21175655722618103,0.0880240797996521,True
403911.jpg,Agaricus bisporus,0.3183738589286804,0.19745048880577087,0.12092337012290955,True
403912.jpg,Agaricus bisporus,0.29079699516296387,0.19595037400722504,0.09484662115573883,True
404041.jpg,Agaricus bisporus,0.268337219953537,0.2107914686203003,0.057545751333236694,True
404081.jpg,Agaricus bisporus,0.27254635095596313,0.21199814975261688,0.06054820120334625,True
404082.jpg,Agaricus bisporus,0.2840389609336853,0.20253577828407288,0.08150318264961243,True
443630.jpg,Agaricus bisporus,0.30793941020965576,0.21283209323883057,0.0951073169708252,True
443631.jpg,Agaricus bisporus,0.3294292688369751,0.2113799750804901,0.11804929375648499,True
443632.jpg,Agaricus bisporus,0.28181710839271545,0.2093794047832489,0.07243770360946655,True
443633.jpg,Agaricus bisporus,0.2975379228591919,0.20250928401947021,0.09502863883972168,True
443634.jpg,Agaricus bisporus,0.32897013425827026,0.22631002962589264,0.10266010463237762,True
443635.jpg,Agaricus bisporus,0.33255183696746826,0.21837706863880157,0.11417476832866669,True
443636.jpg,Agaricus bisporus,0.33787256479263306,0.21920648217201233,0.11866608262062073,True
443637.jpg,Agaricus bisporus,0.2759011685848236,0.2082585096359253,0.06764265894889832,True
479048.jpg,Agaricus bisporus,0.3048955798149109,0.2386779934167862,0.0662175863981247,True
479049.jpg,Agaricus bisporus,0.3091735243797302,0.23404033482074738,0.07513318955898285,True
479050.jpg,Agaricus bisporus,0.30492350459098816,0.23346704244613647,0.07145646214485168,True
479051.jpg,Agaricus bisporus,0.289204865694046,0.21508465707302094,0.07412020862102509,True
479052.jpg,Agaricus bisporus,0.29344475269317627,0.2105989009141922,0.08284585177898407,True
479053.jpg,Agaricus bisporus,0.2965465784072876,0.2245456427335739,0.07200093567371368,True
481620.jpg,Agaricus bisporus,0.3000725507736206,0.2435612976551056,0.056511253118515015,True
481621.jpg,Agaricus bisporus,0.29586654901504517,0.2352258265018463,0.06064072251319885,True
481622.jpg,Agaricus bisporus,0.2608776092529297,0.228384330868721,0.03249327838420868,True
481623.jpg,Agaricus bisporus,0.2514066994190216,0.22194819152355194,0.029458507895469666,False
481624.jpg,Agaricus bisporus,0.23986202478408813,0.22848466038703918,0.01137736439704895,False
517319.jpg,Agaricus bisporus,0.2607046365737915,0.20754480361938477,0.05315983295440674,True
517320.jpg,Agaricus bisporus,0.2909281849861145,0.2024904191493988,0.0884377658367157,True
520958.jpg,Agaricus bisporus,0.28503870964050293,0.20946376025676727,0.07557494938373566,True
520959.jpg,Agaricus bisporus,0.325076699256897,0.2212054580450058,0.10387124121189117,True
520960.jpg,Agaricus bisporus,0.3312457799911499,0.23025834560394287,0.10098743438720703,True
520961.jpg,Agaricus bisporus,0.3229597806930542,0.2305523306131363,0.09240745007991791,True
531875.jpg,Agaricus bisporus,0.30998292565345764,0.20742401480674744,0.1025589108467102,True
531876.jpg,Agaricus bisporus,0.30263757705688477,0.22650961577892303,0.07612796127796173,True
579320.jpg,Agaricus bisporus,0.29466909170150757,0.23527099192142487,0.0593980997800827,True
589850.jpg,Agaricus bisporus,0.2897816300392151,0.22637081146240234,0.06341081857681274,True
614155.jpg,Agaricus bisporus,0.2438441514968872,0.20275813341140747,0.041086018085479736,True
614156.jpg,Agaricus bisporus,0.06977224349975586,0.19080761075019836,-0.1210353672504425,False
614157.jpg,Agaricus bisporus,0.08656015247106552,0.19081062078475952,-0.104250468313694,False
628354.jpg,Agaricus bisporus,0.3052392601966858,0.240900456905365,0.0643388032913208,True
628355.jpg,Agaricus bisporus,0.1866871416568756,0.19240358471870422,-0.005716443061828613,False
628356.jpg,Agaricus bisporus,0.27899810671806335,0.21966999769210815,0.0593281090259552,True
628357.jpg,Agaricus bisporus,0.2839112877845764,0.21653339266777039,0.06737789511680603,True
628358.jpg,Agaricus bisporus,0.3080238699913025,0.22795315086841583,0.08007071912288666,True
628359.jpg,Agaricus bisporus,0.31778067350387573,0.2201755940914154,0.09760507941246033,True
628360.jpg,Agaricus bisporus,0.3237164616584778,0.222547709941864,0.10116875171661377,True
628361.jpg,Agaricus bisporus,0.3351084291934967,0.22489763796329498,0.11021079123020172,True
628362.jpg,Agaricus bisporus,0.30082595348358154,0.2343830168247223,0.06644293665885925,True
628363.jpg,Agaricus bisporus,0.22082781791687012,0.19903188943862915,0.021795928478240967,False
6418.jpg,Agaricus bisporus,0.3058048486709595,0.19959966838359833,0.10620518028736115,True
6419.jpg,Agaricus bisporus,0.2933034896850586,0.21961688995361328,0.07368659973144531,True
6420.jpg,Agaricus bisporus,0.30716919898986816,0.24148620665073395,0.06568299233913422,True
690565.jpg,Agaricus bisporus,0.2605794668197632,0.21019060909748077,0.05038885772228241,True
690566.jpg,Agaricus bisporus,0.2735499143600464,0.23588809370994568,0.03766182065010071,True
690567.jpg,Agaricus bisporus,0.2770375609397888,0.25859177112579346,0.01844578981399536,False
690568.jpg,Agaricus bisporus,0.3271068334579468,0.23263832926750183,0.09446850419044495,True
705.jpg,Agaricus bisporus,0.287881076335907,0.22739210724830627,0.06048896908760071,True
706.jpg,Agaricus bisporus,0.3062615990638733,0.2566269040107727,0.049634695053100586,True
72662.jpg,Agaricus bisporus,0.31632354855537415,0.2188349813222885,0.09748856723308563,True
72663.jpg,Agaricus bisporus,0.2841089963912964,0.18030020594596863,0.10380879044532776,True
79028.jpg,Agaricus bisporus,0.29152971506118774,0.23774203658103943,0.053787678480148315,True
79029.jpg,Agaricus bisporus,0.31793466210365295,0.2224796712398529,0.09545499086380005,True
867.jpg,Agaricus bisporus,0.3469555377960205,0.21114207804203033,0.13581345975399017,True
868.jpg,Agaricus bisporus,0.2981303334236145,0.2360069751739502,0.06212335824966431,True
869.jpg,Agaricus bisporus,0.30857113003730774,0.22151818871498108,0.08705294132232666,True
102897.jpg,Agaricus campestris,0.32471776008605957,0.22191229462623596,0.10280546545982361,True
102898.jpg,Agaricus campestris,0.2974085807800293,0.2028845250606537,0.09452405571937561,True
102899.jpg,Agaricus campestris,0.3119897246360779,0.2015068680047989,0.11048285663127899,True
104918.jpg,Agaricus campestris,0.29127830266952515,0.22019200026988983,0.07108630239963531,True
104919.jpg,Agaricus campestris,0.3242725133895874,0.21704749763011932,0.10722501575946808,True
104920.jpg,Agaricus campestris,0.26723751425743103,0.19280749559402466,0.07443001866340637,True
104991.jpg,Agaricus campestris,0.35646721720695496,0.23331934213638306,0.1231478750705719,True
104992.jpg,Agaricus campestris,0.3497543931007385,0.21709172427654266,0.13266266882419586,True
104993.jpg,Agaricus campestris,0.27399349212646484,0.20788094401359558,0.06611254811286926,True
104994.jpg,Agaricus campestris,0.26565614342689514,0.20931124687194824,0.0563448965549469,True
104995.jpg,Agaricus campestris,0.30526208877563477,0.2165675163269043,0.08869457244873047,True
104996.jpg,Agaricus campestris,0.3125205934047699,0.2159186154603958,0.09660197794437408,True
111747.jpg,Agaricus campestris,0.2765958309173584,0.20393006503582,0.07266576588153839,True
111748.jpg,Agaricus campestris,0.32956209778785706,0.21763330698013306,0.111928790807724,True
111749.jpg,Agaricus campestris,0.32704785466194153,0.22839203476905823,0.0986558198928833,True
111750.jpg,Agaricus campestris,0.3127441704273224,0.20268762111663818,0.1100565493106842,True
112886.jpg,Agaricus campestris,0.32471776008605957,0.22191229462623596,0.10280546545982361,True
112887.jpg,Agaricus campestris,0.31198981404304504,0.20150688290596008,0.11048293113708496,True
112888.jpg,Agaricus campestris,0.2974085807800293,0.2028845101594925,0.0945240706205368,True
1134.jpg,Agaricus campestris,0.32373762130737305,0.20906172692775726,0.11467589437961578,True
116299.jpg,Agaricus campestris,0.2846698760986328,0.21475112438201904,0.06991875171661377,True
116300.jpg,Agaricus campestris,0.31591498851776123,0.22180402278900146,0.09411096572875977,True
117230.jpg,Agaricus campestris,0.2845272719860077,0.2083248496055603,0.07620242238044739,True
123311.jpg,Agaricus campestris,0.3134147524833679,0.21819812059402466,0.09521663188934326,True
123312.jpg,Agaricus campestris,0.3285735547542572,0.23371289670467377,0.09486065804958344,True
123313.jpg,Agaricus campestris,0.3277890384197235,0.24528008699417114,0.08250895142555237,True
123323.jpg,Agaricus campestris,0.324154257774353,0.2281038761138916,0.09605038166046143,True
123324.jpg,Agaricus campestris,0.35801172256469727,0.24034476280212402,0.11766695976257324,True
126986.jpg,Agaricus campestris,0.33110129833221436,0.22541172802448273,0.10568957030773163,True
126987.jpg,Agaricus campestris,0.34168893098831177,0.23330333828926086,0.1083855926990509,True
129832.jpg,Agaricus campestris,0.3187887370586395,0.24090610444545746,0.07788263261318207,True
129833.jpg,Agaricus campestris,0.3149814009666443,0.2379479855298996,0.07703341543674469,True
130198.jpg,Agaricus campestris,0.3092876672744751,0.24042576551437378,0.06886190176010132,True
130199.jpg,Agaricus campestris,0.3420053720474243,0.24682745337486267,0.09517791867256165,True
137132.jpg,Agaricus campestris,0.31788891553878784,0.21723532676696777,0.10065358877182007,True
137133.jpg,Agaricus campestris,0.33122140169143677,0.25361761450767517,0.0776037871837616,True
148001.jpg,Agaricus campestris,0.3022945523262024,0.2348531186580658,0.0674414336681366,True
148002.jpg,Agaricus campestris,0.3277125954627991,0.23090104758739471,0.09681154787540436,True
148003.jpg,Agaricus campestris,0.33757108449935913,0.2337060570716858,0.10386502742767334,True
148004.jpg,Agaricus campestris,0.2608676254749298,0.18070070445537567,0.08016692101955414,True
15160.jpg,Agaricus campestris,0.2907719314098358,0.21482443809509277,0.07594749331474304,True
15161.jpg,Agaricus campestris,0.29656168818473816,0.23564574122428894,0.06091594696044922,True
15162.jpg,Agaricus campestris,0.31206458806991577,0.22073328495025635,0.09133130311965942,True
158525.jpg,Agaricus campestris,0.31276553869247437,0.21808776259422302,0.09467777609825134,True
159366.jpg,Agaricus campestris,0.3073691129684448,0.2405949980020523,0.06677411496639252,True
159367.jpg,Agaricus campestris,0.2885112762451172,0.20918089151382446,0.07933038473129272,True
160869.jpg,Agaricus campestris,0.2973148822784424,0.21469129621982574,0.08262358605861664,True
